Question,Answer
How can I track my order?,You can track your order by visiting 'Your Orders' section in your account.
What is the return policy?,You can return most items within 30 days of delivery for a full refund.
How do I cancel an order?,"Go to 'Your Orders', select the item, and click on 'Cancel Items'."
What payment methods are accepted?,"We accept credit/debit cards, net banking, UPI, and wallet payments."
How do I contact customer service?,You can contact us via the 'Help' section or call our support number.
Can I change my delivery address after placing an order?,You can change the address before the item is shipped.
What are the delivery charges?,Delivery charges depend on the seller and the item. Many items have free delivery.
Do you offer gift wrapping?,"Yes, gift wrapping is available for eligible items at checkout."
Is Cash on Delivery available?,"Yes, it is available for select items and locations."
How do I return a damaged product?,Initiate a return request from 'Your Orders' and choose 'Damaged Item'.
What is Amazon Prime?,"Amazon Prime offers free delivery, streaming, and exclusive deals."
Can I buy without creating an account?,"No, you need to create an account to place an order."
How do I redeem a gift card?,Enter the gift card code during checkout or add it to your account.
What if I miss the delivery?,The delivery will be reattempted or you can reschedule it.
How do I leave a product review?,"Go to 'Your Orders', select the item, and click 'Write a Product Review'."
Why is my order delayed?,"Delays can be due to high demand, weather, or logistics issues."
How do I update my payment method?,Go to 'Your Account' > 'Payment Options' to update details.
Can I schedule delivery for a specific date?,Scheduled delivery is available for select items.
Do you ship internationally?,"Yes, international shipping is available for eligible products."
How do I subscribe to repeat deliveries?,Use 'Subscribe & Save' for regular delivery of essential items.
